gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
-132,16,-201,44,560,15940,0,0,0,5610,-253,47,852,172,16352,0,0,0,0,0,0,0,0,0,0,0,0
-89,289,-291,-220,644,16100,0,0,0,5635,54,-117,-172,396,16320,0,0,0,0,0,0,0,0,0,0,0,0
-87,25,-1194,552,608,16068,0,0,0,5580,-244,-865,1388,204,16396,0,0,0,0,0,0,0,0,0,0,0,0
-139,-104,-214,128,600,16100,0,0,0,5602,-422,59,700,240,16564,0,0,0,0,0,0,0,0,0,0,0,0
-107,-29,-239,104,480,16096,0,0,0,5608,-265,66,816,324,16440,0,0,0,0,0,0,0,0,0,0,0,0
-131,-53,-235,140,544,16140,0,0,0,5588,-291,46,732,268,16452,0,0,0,0,0,0,0,0,0,0,0,0
-126,-43,-234,60,484,16028,0,0,0,5565,-322,65,800,260,16424,0,0,0,0,0,0,0,0,0,0,0,0
-128,-38,-217,-8,564,16104,0,0,0,5597,-286,48,792,372,16300,0,0,0,0,0,0,0,0,0,0,0,0
-137,-142,-225,108,524,16096,0,0,0,5573,-397,39,876,276,16260,0,0,0,0,0,0,0,0,0,0,0,0
-146,-212,-197,148,432,16080,0,0,0,5568,-510,48,808,224,16320,0,0,0,0,0,0,0,0,0,0,0,0
-146,-101,-235,152,520,16036,0,0,0,5573,-385,59,824,308,16400,0,0,0,0,0,0,0,0,0,0,0,0
-145,-306,-228,204,520,16004,0,0,0,5532,-563,61,1028,320,16564,0,0,0,0,0,0,0,0,0,0,0,0
-174,-456,-233,196,608,16080,0,0,0,5567,-701,71,928,296,16224,0,0,0,0,0,0,0,0,0,0,0,0
-155,-389,-233,172,560,16052,0,0,0,5556,-672,43,964,184,16292,0,0,0,0,0,0,0,0,0,0,0,0
-166,-409,-379,220,548,16084,0,0,0,5552,-701,-115,916,220,16428,0,0,0,0,0,0,0,0,0,0,0,0
-248,-1081,-448,524,572,16032,0,0,0,5460,-1430,-184,1176,176,16656,0,0,0,0,0,0,0,0,0,0,0,0
-257,-888,-360,796,460,15824,0,0,0,5447,-1175,-94,1532,224,16316,0,0,0,0,0,0,0,0,0,0,0,0
-895,-4464,-248,924,452,16268,0,0,0,4766,-4825,-29,1700,92,16664,0,0,0,0,0,0,0,0,0,0,0,0
-893,-4487,-221,1748,304,15980,0,0,0,4808,-4758,-3,2432,68,16208,0,0,0,0,0,0,0,0,0,0,0,0
-695,-1765,-250,1800,256,16404,0,0,0,4998,-2116,6,2560,12,16500,0,0,0,0,0,0,0,0,0,0,0,0
381,236,-593,1008,60,17132,0,0,0,6036,-243,-391,1532,-324,17716,0,0,0,0,0,0,0,0,0,0,0,0
-439,-481,-969,1944,32,15072,0,0,0,5246,-583,-751,2496,-352,15212,0,0,0,0,0,0,0,0,0,0,0,0
8,121,-189,2064,160,15952,0,0,0,5776,-134,83,2840,-76,16204,0,0,0,0,0,0,0,0,0,0,0,0
-430,-2854,-261,1816,292,16632,0,0,0,5208,-3240,-47,2472,-200,16680,0,0,0,0,0,0,0,0,0,0,0,0
-401,-5966,-454,2636,356,16540,0,0,0,5185,-6453,-272,3396,32,16740,0,0,0,0,0,0,0,0,0,0,0,0
-551,-8956,-567,3544,148,15756,0,0,0,5062,-9326,-407,4340,-208,15848,0,0,0,0,0,0,0,0,0,0,0,0
-318,-6395,-775,4932,28,14684,0,0,0,5295,-6566,-619,5732,-256,14700,0,0,0,0,0,0,0,0,0,0,0,0
-435,-6275,-762,5512,12,15680,0,0,0,5202,-6801,-595,6172,-204,15716,0,0,0,0,0,0,0,0,0,0,0,0
-415,-9704,-1406,6908,172,14460,0,0,0,5092,-9999,-1257,7612,-48,14388,0,0,0,0,0,0,0,0,0,0,0,0
-676,-9329,-905,7868,-12,14248,0,0,0,4883,-9776,-759,8592,-396,14144,0,0,0,0,0,0,0,0,0,0,0,0
-761,-10055,-1419,9124,204,12692,0,0,0,4745,-10231,-1284,9844,-148,12420,0,0,0,0,0,0,0,0,0,0,0,0
